Security Code,Issuer Name,Security Id,ISIN No,Industry
532350,Padmalaya Telefilms Ltd.,PADMALAYAT,INE243B01016,Film Production- Distribution & Exhibition
532351,Aksh Optifibre Ltd.,AKSHOPTFBR,INE523B01011,Telecom -  Equipment & Accessories
532354,Virgo Global Limited,VIRGOGLOB,INE400B01020,Software Products
532355,Picturehouse Media Limited,PICTUREHS,INE448B01029,Film Production- Distribution & Exhibition
532356,Triveni Engineering & Industries Ltd,TRIVENI,INE256C01024,Sugar
532357,Mukta Arts Ltd.,MUKTAARTS,INE374B01019,Education
532362,Nagpur Power & Industries Ltd,NAGPI,INE099E01016,Ferro & Silica Manganese
532365,Dynacons Systems & Solutions Ltd.,DSSL,INE417B01040,IT Enabled Services
532366,PNB Gilts Ltd,PNBGILTS,INE859A01011,Investment Company
532368,BRIGHTCOM GROUP LIMITED,BCG,INE425B01027,IT Enabled Services
532369,Ramco Industries Ltd,RAMCOIND,INE614A01028,Cement & Cement Products
532370,Ramco Systems Ltd,RAMCOSYS,INE246B01019,Software Products
532371,Tata Teleservices (Maharashtra) Ltd.,TTML,INE517B01013,Telecom - Cellular & Fixed line services
532372,Virinchi Limited,VIRINCHI,INE539B01017,Software Products
532373,WEP Solutions Ltd,WEPSOLN,INE434B01029,IT Enabled Services
532374,Sterlite Technologies Limited.,STLTECH,INE089C01029,Other Telecom Services
532375,Tips Industries Limited,TIPSINDLTD,INE716B01011,Media & Entertainment
532376,MRO-TEK Realty Limited,MRO-TEK,INE398B01018,Computers Hardware & Equipments
532379,FIRST FINTEC LIMITED,FIRSTFIN,INE683B01047,Software Products
532380,Baba Arts Ltd,BABA,INE893A01036,Film Production- Distribution & Exhibition
532382,Balaji Telefilms Ltd.,BALAJITELE,INE794B01026,Media & Entertainment
532384,Tyche Industries Ltd.,TYCHE,INE443B01012,Pharmaceuticals
532386,California Software Co. Ltd.,CALSOFT,INE526B01014,Computers - Software & Consulting
532387,Pritish Nandy Communications Ltd,PNC,INE392B01011,Film Production- Distribution & Exhibition
532388,Indian Overseas Bank,IOB,INE565A01014,Public Sector Bank
532390,Taj GVK Hotels & Resorts Ltd.,TAJGVK,INE586B01026,Hotels & Resorts
532392,Creative Eye Ltd.,CREATIVEYE,INE230B01021,Media & Entertainment
532395,AXISCADES TECHNOLOGIES LIMITED,AXISCADES,INE555B01013,IT Enabled Services
532397,KONNDOR INDUSTRIES LIMITED,KONNDOR,INE971A01014,Paper & Paper Products
532398,Usha Martin Education & Solutions Limited,UMESLTD,INE240C01028,E-Learning
